name,date,round,day,race_no,back_no,violation_time,violation_place,judgment
김성호,2023-03-10,10,1,2,6,5 주회,결승선전,경고
김세준,2026-03-08,10,3,3,2,5 주회,결승선전,경고
김시진,2023-01-07,1,2,6,7,4 주회,HS,주의
김시후,2022-06-19,24,3,12,1,5 주회,4코너,주의
김시후,2025-06-06,23,1,16,3,5 주회,BS,주의
김연호,2022-06-19,24,3,6,1,5 주회,BS,주의
김연호,2023-11-18,45,2,5,6,5 주회,3코너,경고
김영곤,2022-01-16,2,3,12,1,5 주회,BS,주의
김영곤,2022-01-28,4,1,14,3,5 주회,BS,주의
김영곤,2022-03-05,9,2,15,2,5 주회,BS,주의
김영곤,2022-03-06,9,3,14,6,5 주회,BS,주의
김영곤,2024-06-01,21,2,8,2,5 주회,3코너,주의
김영규,2022-04-08,14,1,4,3,5 주회,BS,주의
김영석,2025-11-14,45,1,9,1,5 주회,3코너,주의
김영섭,2024-08-02,30,1,13,1,5 주회,BS,주의
김영수,2022-07-30,30,2,16,2,5 주회,BS,주의
김영진,2022-02-26,8,2,11,1,5 주회,BS,주의
김영진,2023-06-03,22,2,10,1,5 주회,BS,주의
김영진,2025-08-17,33,3,10,1,5 주회,BS,주의
김용규,2022-07-24,29,3,16,5,5 주회,3코너,주의
김용규,2025-10-19,41,3,15,1,4 주회,HS,주의
김용남,2024-03-15,10,1,4,3,5 주회,4코너,주의
김용남,2025-07-27,30,3,5,2,5 주회,BS,주의
김용남,2025-12-07,48,3,2,4,4 주회,HS,주의
김용대,2023-03-18,11,2,5,1,5 주회,결승선전,경고
김용묵,2022-07-02,26,2,3,2,5 주회,BS,주의
김용묵,2022-10-22,42,2,5,2,5 주회,BS,주의
김용묵,2025-01-31,5,1,1,5,5 주회,결승선전,경고
김용태,2023-08-19,33,2,7,5,5 주회,결승선전,주의
김용태,2025-06-21,25,2,9,5,5 주회,BS,주의
김우영,2022-08-20,33,2,12,6,5 주회,2코너,주의
김우영,2024-01-07,1,3,15,4,5 주회,BS,주의
김우영,2024-03-01,8,1,15,1,5 주회,BS,주의
김우영,2024-10-18,41,1,11,3,5 주회,1코너,주의
김우현,2023-11-03,43,1,13,2,5 주회,결승선전,주의
김우현,2024-12-23,50,4,12,4,5 주회,결승선전,주의
김원정,2023-12-31,51,3,10,5,5 주회,1코너,주의
김원정,2024-11-08,44,1,16,6,5 주회,BS,주의
김원진,2022-12-24,51,2,13,2,5 주회,BS,주의
김원진,2024-01-12,2,1,14,3,3 주회,HS,주의
김유승,2023-01-27,4,1,9,3,5 주회,BS,주의
김유승,2024-08-09,31,1,10,2,5 주회,BS,주의
김유승,2025-10-18,41,2,4,2,4 주회,4코너,주의
김유승,2026-03-02,9,4,4,1,4 주회,4코너,주의
김유신,2024-04-21,15,3,2,2,5 주회,결승선전,경고
